id,group
cell7840,com17
cell36720,com43
user18500,com15
user34000,com28
user12420,com47
cell12180,com46
user73320,com23
cell16340,com19
cell68900,com9
cell10040,com37
user52280,com32
user94080,com27
user61260,com42
user2400,com6
user53660,com39
cell8740,com1
user41180,com46
user33760,com31
user68420,com47
user71540,com40
user73120,com24
cell51900,com9
user3320,com23
user73800,com18
cell51020,com33
user49240,com0
user55900,com9
user85540,com40
user94980,com49
cell7400,com6
cell49100,com41
user10680,com11
user92000,com28
user26080,com27
cell24600,com4
user12000,com28
user13700,com14
cell11560,com36
cell16660,com39
cell40140,com16
cell15820,com13
user78500,com15
cell9220,com44
cell58900,com9
user39640,com25
user99320,com23
user71340,com19
user37880,com7
cell25200,com48
user61040,com37
user59300,com35
user92680,com11
user42780,com29
cell24320,com23
cell42360,com8
cell12700,com14
user9980,com49
cell17260,com42
cell60,com10
user45040,com37
user55620,com22
user32300,com35
user21720,com43
cell11000,com28
user48640,com25
cell50300,com35
user71460,com5
user37620,com22
cell54620,com22
user69720,com43
cell47180,com46
user20820,com13
user78800,com18
user77180,com46
cell41460,com5
cell3840,com17
cell53460,com5
user37460,com5
cell41420,com47
user2740,com1
user63420,com47
cell28260,com42
cell19540,com40
cell38920,com21
user62740,com1
user61960,com34
cell24760,com31
cell1260,com42
user77280,com32
cell43760,com31
user29560,com36
cell58560,com36
user67940,com38
cell30440,com30
cell6020,com33
user75340,com19
user30660,com39
user31420,com47
user32020,com33
user10340,com19
user11860,com12
cell49460,com5
user51200,com48
cell48840,com17
user14320,com23
user53440,com30
user52780,com29
user94400,com6
user18260,com42
user61820,com13
cell68740,com1
user77000,com28
user28060,com10
cell38180,com46
user69560,com36
cell34280,com32
cell47500,com15
user74480,com2
user69860,com12
cell49140,com16
user50300,com35
cell60420,com47
user12940,com38
cell29400,com6
user16260,com42
cell14900,com9
user58540,com40
user68820,com13
cell57440,com30
cell54080,com27
cell40100,com41
user24040,com37
cell42420,com47
user84940,com38
user51480,com2
user37800,com18
cell2140,com16
cell46580,com26
user54320,com23
cell60620,com22
user93960,com34
cell28340,com19
user67800,com18
user6480,com2
user920,com21
cell11460,com5
user27300,com35
user86900,com9
user78600,com4
user48820,com13
user24080,com27
cell43420,com47
user7860,com12
cell52700,com14
cell13440,com30
user68900,com9
cell26200,com48
cell52420,com47
user88540,com40
user45140,com16
cell1960,com34
user85520,com20
cell53080,com27
cell62960,com34
user75980,com49
cell25620,com22
user41300,com35
user77080,com27
cell48160,com45
user30080,com27
user960,com34
user91120,com24
user30520,com20
user46240,com0
user35440,com30
user2060,com10
user42920,com21
cell35120,com24
cell9640,com25
package240,com33
